"","actors_who_need_to_take_action","agents_of_change","call_to_action","cc_id","created_at","created_by","duration_of_problem","escalate_problem_to_govt_officials","flagged_issue","government_program_details","id","impact_achieved_description","impact_affected_community_member_support","impact_called_govt_official","impact_cc_verification_call","impact_community_meetings_attendance_number","impact_community_meetings_done","impact_community_meetings_number","impact_contact_lawyer","impact_contact_news_media","impact_contact_politician","impact_contact_vv_staff","impact_corroboration_call","impact_corroboration_details","impact_date","impact_govt_application_filing","impact_govt_official_no_of_calls","impact_govt_official_no_of_visits","impact_govt_official_support","impact_govt_official_support_details","impact_govt_official_visit","impact_in_process","impact_needs_office_intervention","impact_other_community_member_support","impact_other_community_member_support_details","impact_plan","impact_possible","impact_problem_reporting","impact_public_grievance_mechanism_use","impact_publicize_on_social_media","impact_raised_awareness","impact_rti_application_filing","impact_steps_followed_at_local_level","impact_uid","impact_youtube_publish_date","impact_youtube_url","is_impact","issue","issue_2","issue_footage_received_from_cc_date","level_of_spread","mentor","ngo_collaboration","no_of_individuals_affected","people_impacted","people_involved","primary_affected_groups","problem_identification_by_cc","screened_to","screened_to_total_number","screening_done","screening_shared_to","screening_shared_to_total_number","screening_shared_to_total_private_sharing","screening_sharing","social_movement_work","story_pitch_date","target_official","themes","topic_identification_reason","uid","underlying_reason_of_issue","updated_at","village_name","villages_impacted","youtube_publish_date","youtube_url"
"926",NA,NA,"no",77,2019-02-25 05:59:53,NA,NA,NA,"no",NA,5199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jh_474_mojo",NA,2022-11-18 10:44:01,NA,NA,2019-02-25,NA
"927","b.d.o.",NA,"yes",77,2018-09-22 14:17:31,NA,"yrs or more",NA,NA,NA,3762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to bdo office, give an application, screen video to bdo. also file an rti. screen video ijn community","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"individual",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_338_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"matlyog",NA,2018-09-22,NA
"928","b.d.o.",NA,"yes",77,2018-09-02 15:58:03,NA,"last 1 year",NA,NA,NA,3556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to bdo, with an application signed by applicants. submit all documents screen video","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"individual",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_312_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"kontari",NA,2018-09-02,NA
"929","panchayat official, bdo",NA,"yes",101,2018-11-30 12:16:05,NA,"yrs or more",NA,"no",NA,4321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"write a letter to the officer signed by the villagers. keep a copy of the letter and submit to the office. take some villagers along with you to the office. show this mojo to the officer","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"household",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"food and supply officer",NA,NA,"jh_396_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"lupungkel",NA,2018-11-30,NA
"930","department bureaucrat",NA,"yes",88,2020-03-01 09:16:13,NA,NA,NA,NA,NA,8934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"organize a meeting with the community. screen the related video. write an application and visit the bdo office with the community members. screen that video in front of the officer. take a receipt of the complaint from the bdo office. follow-up the process with officers and community till the end  ","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure",NA,NA,NA,"guruprasad pednekar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"department officer",NA,NA,"jh_807_mojo",NA,2022-11-18 10:42:09,"made",NA,2020-03-01,"https://youtu.be/x6s_bwx-swg"
"931","department bureaucrat-block level","government official","no",86,2022-07-17 12:36:19,"beena bharti","2-4 yrs","sign an application","no",NA,4117,NA,"yes","no",NA,10,"yes",2,"no","no","no","no",NA,NA,NA,"yes",0,1,"yes","block development officer or other block officials","yes","yes","no","no","others","cc can write an application and can also approach the target official of the area.","yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","visiting the relevant authorities",NA,NA,NA,FALSE,"livelihoods","corruption",2022-07-18,"village","shikha paharin","no",150,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes","community members",10,"yes","community members, panchayat official",6,1,"no","no",2022-07-17,NA,"material problem (e.g. delivery of a service, repair of infrastructure), a governance & accountability problem, where the system is not working as it should","mentor or someone from vv called them","jh_5370","low quality service delivery of entitlement provision",2022-08-30 10:26:20,"sahiyari",NA,2022-07-25,"https://youtu.be/btog3p-ighi"
"932","department bureaucrat-block level","government official","no",86,2022-07-17 12:36:19,"beena bharti","2-4 yrs","visit a government office","no",NA,4117,NA,"yes","no",NA,10,"yes",2,"no","no","no","no",NA,NA,NA,"yes",0,1,"yes","block development officer or other block officials","yes","yes","no","no","others","cc can write an application and can also approach the target official of the area.","yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","visiting the relevant authorities",NA,NA,NA,FALSE,"livelihoods","corruption",2022-07-18,"village","shikha paharin","no",150,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes","community members",10,"yes","community members, panchayat official",6,1,"no","no",2022-07-17,NA,"material problem (e.g. delivery of a service, repair of infrastructure), a governance & accountability problem, where the system is not working as it should","mentor or someone from vv called them","jh_5370","low quality service delivery of entitlement provision",2022-08-30 10:26:20,"sahiyari",NA,2022-07-25,"https://youtu.be/btog3p-ighi"
"933",NA,NA,"yes",408,2018-11-27 12:27:16,NA,"2-4 yrs",NA,"no",NA,4280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to bdo for urgent inclusion of the widow for pension if possible the victim will meet the authority with a written application for a say of her problem.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"household",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_392_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"barsatiaa",NA,2018-11-27,NA
"934","panchayat official, bdo",NA,"yes",82,2019-05-03 08:05:42,NA,"yrs or more",NA,NA,NA,5923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to mukhiya, and bdo, give an application for ration card. screen video to officer.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"household","shikha paharin",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bdo rinku sinha,",NA,NA,"jh_532_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,NA,NA,2019-04-30,NA
"935",NA,NA,"yes",83,2019-07-19 08:51:03,NA,"last 6 months",NA,"no",NA,6709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to dwsd for re-installation of hand pumps, so that villagers won't go to fetch water to neighboring villages.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"water","crumbling infrastructure",NA,"village","guruprasad pednekar",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dwsd",NA,NA,"jh_592_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"village-lootutand",NA,2019-07-19,NA
"936","department bureaucrat-state level, department bureaucrat-district level","government official","no",83,2021-01-08 06:08:52,"amrita anand","last 1 year","sign an application","no",NA,1251,NA,"yes","no",NA,20,"yes",1,"no","no","no","no",NA,NA,NA,"no",0,1,"yes","mla, other officials","yes","yes","no","yes","social movement leaders",NA,"yes","yes","no","no","screened/shared a video about the problem","no","visiting the relevant authorities",NA,NA,NA,FALSE,"education","livelihoods",2021-01-15,"block","guruprasad pednekar","yes",2500,NA,NA,"tribals, adivasi, scheduled tribe, dalits, scheduled castes, no particular groups is affected -- the problem is cross-cutting","yes","community members",100,"yes","other govt official",0,0,"no","yes",2020-12-31,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5116","denial of service delivery or entitlement provision",2022-03-30 13:01:53,"mahuda town",NA,2021-02-18,"https://youtu.be/eda8vlailjq"
"937","panchayat official","government official","yes",83,2020-12-28 07:27:04,"amrita anand","2-4 yrs","don't know yet","no",NA,1147,NA,"no","no",NA,0,"no",0,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no","yes","no","no","others",NA,"yes","yes","no","no","don't know yet","no","visiting the relevant authorities",NA,NA,NA,FALSE,"water","anti poverty programs",2021-01-18,"other","guruprasad pednekar","no",10,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no",NA,NA,NA,NA,"no",2020-12-27,NA,"none of the above","others","jh_5105","low quality service delivery of entitlement provision",2022-03-30 13:01:53,"kumardih",NA,2021-02-18,"https://youtu.be/1ctx9tp7hwk"
"938","department bureaucrat",NA,"yes",82,2019-12-17 11:34:44,NA,"yrs or more",NA,NA,NA,8269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"cc must screen this video to dc for immediate solution of this kind of low quality materials being used for public purpose will become future danger to the common masses.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"corruption","governance and accountability",NA,"district","shikha paharin",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deputy commissioner",NA,NA,"jh_734_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"mahuda",NA,2019-12-17,"https://youtu.be/7gcy8_ecb5y"
"939","department bureaucrat-block level, department bureaucrat-district level","government official","no",83,2020-10-15 14:24:41,"halima ejaz","last 6 months","sign an application","no","gramin sadak yojna",712,NA,"yes","yes",NA,90,"yes",4,"no","no","no","no",NA,NA,NA,"no",1,0,"yes","block development officer or other block officials","no","yes","no","no","others",NA,"yes","yes","no","yes","told people about the problem (in person)","no","speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"crumbling infrastructure","health",2021-01-01,"panchayat","guruprasad pednekar","no",20000,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes","community members",40,"yes","community members",5,5,"yes","no",2020-10-15,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","people came to him with their problems","jh_5053","delayed service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-03-30 13:01:53,"chatrutand",NA,2021-01-18,"https://youtu.be/f_5yapnv6us"
"940","department bureaucrat-block level","government official","yes",83,2021-07-12 03:46:18,"amrita anand","yrs or more","visit a government office","no","right to food",2250,NA,"yes","yes",NA,35,"yes",1,"no","no","no","yes",NA,NA,NA,"no",1,0,"yes","block development officer or other block officials","no","yes","no","no","others","(1) online application (2) speaking to district supply officer","yes","yes","yes","yes","informed people about a government program or entitlement","no","making a social media post, explaining the problem and showing some of the footage, speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"anti poverty programs","health",2021-06-24,"panchayat","guruprasad pednekar","no",95,NA,NA,"dalits, scheduled castes","yes","community members",25,"yes","community members",15,100,"yes","no",2021-06-03,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5241","delayed service delivery or entitlement provision, denial of service delivery or entitlement provision",2022-03-30 13:01:53,"mahuda",NA,2021-07-12,"https://youtu.be/xsw_wbp39wc"
"941","department bureaucrat-district level","government official","yes",83,2021-08-25 12:50:51,"amrita anand","last 1 year","don't know yet","no",NA,2597,NA,"yes","no",NA,0,"no",0,"no","no","no","no",NA,NA,NA,"no",0,1,"yes","block development officer or other block officials","yes","yes","yes","no","others",NA,"yes","yes","no","yes","don't know yet","no","calling or visiting a local ngo or social movement, visiting the relevant authorities",NA,NA,NA,FALSE,"health","livelihoods",2021-09-20,"block","guruprasad pednekar","no",340,NA,NA,"women","yes","community members",200,"yes","community members",25,45,"yes","no",2021-08-11,NA,"material problem (e.g. delivery of a service, repair of infrastructure), a governance & accountability problem, where the system is not working as it should","others","jh_5270","denial of service delivery or entitlement provision, low quality service delivery of entitlement provision",2021-10-11 06:07:31,"baghmara",NA,2021-09-30,"https://youtu.be/-1pp0lru_hm"
"942","department bureaucrat",NA,"yes",83,2018-12-18 07:19:03,NA,"last 3 months",NA,"no",NA,4516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to deputy commissioner for a second thought for the para teachers service and their salary for the restoration of children's education which is hampered if they go on unrest for their demand for a indefinite period of time.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"education","education",NA,"block","guruprasad pednekar",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deputy commissioner of jharkhand",NA,NA,"jh_416_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"mahuda basti",NA,2018-12-18,NA
"943","department bureaucrat",NA,"yes",83,2018-12-07 09:19:47,NA,"yrs or more",NA,"yes",NA,4412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to all general public of the block and give a written petition to the deputy commissioner. this is an appeal to all for protection of water,land and forest in the district.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"environment","environment",NA,"panchayat","guruprasad pednekar",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deputy commissioner",NA,NA,"jh_402_mojo","denial of service delivery or entitlement provision",2022-11-18 10:44:01,"mahuda",NA,2018-12-07,NA
"944","b.d.o.",NA,"yes",83,2018-12-07 10:54:19,NA,"yrs or more",NA,"yes",NA,4420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to bdo and representatives from each family shall be accompanying the cc for pressurizing the authority for getting the pmay housing. all householders must have formalities to show the authority for the opportunity of availing the scheme without fail.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs","governance and accountability",NA,"village","guruprasad pednekar",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_404_mojo","denial of service delivery or entitlement provision",2022-11-18 10:44:01,"kanchanpur",NA,2018-12-07,NA
"945","department bureaucrat",NA,"yes",83,2019-09-03 12:06:41,NA,"last 1 year",NA,"no",NA,7125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"cc must screen this video to dc for immediate action as people demand for their daily communication is being barred.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","governance and accountability",NA,"panchayat","guruprasad pednekar",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deputy commissioner",NA,NA,"jh_626_mojo","denial of service delivery or entitlement provision",2022-11-18 10:44:01,"kapuria",NA,2019-08-31,NA
"946",NA,NA,"yes",83,2019-01-08 12:53:51,NA,"last 3 months",NA,"no",NA,4735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to icds in charge cdpo for absent of the anganwadi official in the centers for nutrition related guidance in the block of baghamara","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"education","governance and accountability",NA,"block","guruprasad pednekar",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"child development program officer",NA,NA,"jh_428_mojo","absenteeism of officials/public employees",2022-11-18 10:44:01,"icds office",NA,2019-01-08,NA
"947","department bureaucrat",NA,"yes",83,2019-04-15 07:40:12,NA,"last month or less",NA,"no",NA,5743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"cc can viral this video to all the citizens in the district to be conscious about their voting rights while choosing their leaders for bringing right governance in the district.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"governance and accountability","governance and accountability",NA,"block","guruprasad pednekar",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all the voters of the district",NA,NA,"jh_516_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"mahuda",NA,2019-04-15,NA
